f_sat_target,alpha_s,n_gal,n_sat,f_sat_actual,model_number_density_h3_mpc3,observed_number_density_h3_mpc3,chi2_xi0,chi2_xi2,chi2_wp,chi2_density,chi2_cov,chi2_total_cov,chi2_total,status
0.08,1.4,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,72.79422660589451,160.1877087687829,916.0387690117235,1.383905702489101e-09,2758.9028664446905,2758.9028664460743,1149.0207043877847,ok
0.08,1.2,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,73.89847137090675,203.58532603064663,915.9869828279656,1.383905702489101e-09,2772.2335404860737,2772.2335404874575,1193.4707802309026,ok
0.08,1.0,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,74.90833714207476,244.68973761788953,915.1655465037812,1.383905702489101e-09,2804.8050856616137,2804.8050856629975,1234.7636212651294,ok
0.08,0.8,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,75.02483756068263,257.31383118482097,914.9140103049048,1.383905702489101e-09,2839.739830264728,2839.7398302661118,1247.2526790517923,ok
0.08,0.6,66449,5316,0.08000120393083418,0.000531592,0.0005315890336544999,73.42816674680897,177.23764639209554,914.869076743029,1.383905702489101e-09,2859.8796288323524,2859.879628833736,1165.5348898833174,ok
0.12,0.6,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,115.07955566812917,745.9344922208312,1752.2704480352772,1.383905702489101e-09,5604.07460656725,5604.074606568634,2613.2844959256213,ok
0.12,1.4,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,114.2714713729823,923.3286535297465,1755.6884533217824,1.383905702489101e-09,5676.658991095021,5676.658991096405,2793.288578225895,ok
0.12,1.2,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,116.93829261580402,1089.0535040724872,1754.8117616815236,1.383905702489101e-09,5771.4974371403005,5771.497437141685,2960.8035583711985,ok
0.12,0.8,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,119.06690067337715,1137.90540030987,1752.6647655852746,1.383905702489101e-09,5811.089379694388,5811.089379695773,3009.6370665699055,ok
0.12,1.0,66449,7974,0.12000180589625126,0.000531592,0.0005315890336544999,118.86691716941301,1177.5133455080531,1753.3305503170327,1.383905702489101e-09,5818.399880824147,5818.399880825531,3049.710812995883,ok
0.16,0.6,66449,10632,0.16000240786166836,0.000531592,0.0005315890336544999,186.99134602212965,1694.2027494100112,2746.835484961507,1.383905702489101e-09,9297.95123724784,9297.951237249225,4628.029580395032,ok
0.16,1.4,66449,10632,0.16000240786166836,0.000531592,0.0005315890336544999,188.8145441134281,2502.996688383801,2749.5655195530294,1.383905702489101e-09,9988.788152746783,9988.788152748168,5441.376752051643,ok
0.16,0.8,66449,10632,0.16000240786166836,0.000531592,0.0005315890336544999,194.88370920865157,2689.7336236090023,2747.8516251056476,1.383905702489101e-09,10004.61317312888,10004.613173130265,5632.468957924686,ok
0.16,1.2,66449,10632,0.16000240786166836,0.000531592,0.0005315890336544999,192.97543480078235,2818.3225730532054,2748.0351966426474,1.383905702489101e-09,10174.576998498696,10174.57699850008,5759.33320449802,ok
0.16,1.0,66449,10632,0.16000240786166836,0.000531592,0.0005315890336544999,195.58488336260837,2947.1816520794905,2747.4763016217235,1.383905702489101e-09,10207.102808188707,10207.102808190091,5890.242837065207,ok
0.2,0.6,66449,13290,0.20000300982708544,0.000531592,0.0005315890336544999,271.3982555996592,2873.5626970188796,3850.7964477611354,1.383905702489101e-09,13578.601723708345,13578.60172370973,6995.757400381059,ok
0.2,0.8,66449,13290,0.20000300982708544,0.000531592,0.0005315890336544999,284.26004480836207,4614.698906060487,3853.655273814211,1.383905702489101e-09,14873.573625239085,14873.57362524047,8752.614224684445,ok
0.2,1.4,66449,13290,0.20000300982708544,0.000531592,0.0005315890336544999,278.2110788526347,4618.42328682207,3857.721543143936,1.383905702489101e-09,15161.289913151462,15161.289913152847,8754.355908820025,ok
0.2,1.0,66449,13290,0.20000300982708544,0.000531592,0.0005315890336544999,286.6541230369646,5161.753794369916,3853.946310485045,1.383905702489101e-09,15344.320199218148,15344.320199219532,9302.354227893311,ok
0.2,1.2,66449,13290,0.20000300982708544,0.000531592,0.0005315890336544999,283.5871671945213,5036.28807388922,3855.579690096911,1.383905702489101e-09,15382.965895227835,15382.96589522922,9175.454931182036,ok
0.24,0.6,66449,15948,0.2400036117925025,0.000531592,0.0005315890336544999,353.2327264575475,4398.563798813126,5098.624944889381,1.383905702489101e-09,18306.880176068444,18306.880176069826,9850.421470161438,ok
0.24,0.8,66449,15948,0.2400036117925025,0.000531592,0.0005315890336544999,373.03179571073093,7131.479535974745,5102.109550750592,1.383905702489101e-09,20419.062784663332,20419.062784664715,12606.620882437452,ok
0.24,1.4,66449,15948,0.2400036117925025,0.000531592,0.0005315890336544999,369.56437348080976,7343.738176815619,5104.4026152218285,1.383905702489101e-09,21009.82770510499,21009.827705106374,12817.705165519643,ok
0.24,1.0,66449,15948,0.2400036117925025,0.000531592,0.0005315890336544999,378.3947602520335,8054.675682237586,5100.7490064937565,1.383905702489101e-09,21224.82282514089,21224.822825142273,13533.819448984761,ok
0.24,1.2,66449,15948,0.2400036117925025,0.000531592,0.0005315890336544999,375.7923326000564,7893.721194429997,5102.618032568412,1.383905702489101e-09,21303.615060845295,21303.615060846678,13372.131559599848,ok
